pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1327	4641	2958	2757	1726	1283	861	582	392	131	155	26	6
home---secondary	280	256	262	242	225	211	173	194	180	137	118	88	490
home---work	5569	6398	2694	1526	1089	1473	526	293	298	298	241	238	1198
pt interaction---home	2	4	2	5	3	1	1	2	0	0	0	0	0
pt interaction---pt interaction	1034	1674	282	49	13	11	3	4	38	33	1	3	397
pt interaction---secondary	42	57	36	34	38	39	7	0	1	1	0	0	0
pt interaction---work	474	732	453	313	300	241	69	3	2	3	1	0	0
secondary---home	103	265	274	228	189	173	148	155	143	98	81	48	228
secondary---pt interaction	198	205	96	89	83	58	15	2	3	2	2	0	0
work---home	199	526	488	295	310	275	278	229	230	226	159	143	536
work---pt interaction	634	925	535	365	372	286	86	3	2	3	2	0	0

average trip duration: 1532.4068135926686 seconds = 00:25:32
